,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20,C_21,C_22,C_23,C_24,C_25,C_26,C_27,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41
P_1,0.0,0.0,0.0,0.0,3.942828979793002,3.942828979793002,3.942828979793002,0.0,0.0,3.942828979793002,0.0,0.0,0.0,0.0,0.0,3.942828979793002,0.0,0.0,0.0,3.942828979793002,3.942828979793002,3.942828979793002,3.942828979793002,3.942828979793002,0.0,0.0,0.0,3.942828979793002,3.942828979793002,0.0,0.0,0.0,3.942828979793002,3.942828979793002,0.0,3.942828979793002,3.942828979793002,3.942828979793002,5.086249383932972,3.942828979793002,3.942828979793002
P_2,2.2916666666666665,0.0,2.2916666666666665,0.0,2.2916666666666665,2.2916666666666665,2.2916666666666665,2.2916666666666665,2.2916666666666665,2.2916666666666665,2.2916666666666665,0.0,2.2916666666666665,0.0,2.2916666666666665,2.2916666666666665,0.0,0.0,0.0,2.2916666666666665,0.0,0.0,2.2916666666666665,2.2916666666666665,0.0,2.2916666666666665,2.2916666666666665,2.2916666666666665,2.2916666666666665,0.0,0.0,2.2916666666666665,0.0,2.2916666666666665,0.0,0.0,2.2916666666666665,0.0,2.2916666666666665,2.2916666666666665,0.0
P_3,1.25,0.0,0.0,1.25,1.25,1.25,0.0,1.25,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.25,0.0,1.25,1.25,0.0,0.0,0.0,0.0,1.25,0.0,1.25,1.25,1.25,1.25,1.25,0.0,1.25,1.25,1.25,1.25,1.25,0.0,1.25,1.25,1.25,1.25
P_4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0
P_5,2.690937870993273,0.0,0.0,0.0,0.0,0.0,2.690937870993273,2.690937870993273,0.0,2.690937870993273,0.0,2.690937870993273,2.690937870993273,0.0,2.690937870993273,2.690937870993273,0.0,2.690937870993273,0.0,6.10842896715473,2.690937870993273,2.690937870993273,2.690937870993273,2.690937870993273,2.690937870993273,0.0,0.0,0.0,2.690937870993273,0.0,2.690937870993273,2.690937870993273,2.690937870993273,2.690937870993273,0.0,2.690937870993273,2.690937870993273,2.690937870993273,0.0,2.690937870993273,0.0
P_6,0.0,2.1153846153846154,0.0,0.0,2.1153846153846154,2.1153846153846154,0.0,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,0.0,0.0,0.0,0.0,2.1153846153846154,2.1153846153846154,0.0,2.1153846153846154,2.1153846153846154,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,0.0,2.1153846153846154,0.0,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154
P_7,2.0689655172413794,0.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,0.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,0.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,0.0,2.0689655172413794,0.0,2.0689655172413794,0.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,0.0,0.0,0.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,0.0,0.0,2.0689655172413794,2.0689655172413794,0.0
P_8,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
P_9,0.0,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,0.0,0.0,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,0.0,1.2903225806451613,0.0,0.0,0.0,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,0.0,1.2903225806451613,1.2903225806451613,0.0,1.2903225806451613,0.0,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613
P_10,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.0,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.0,0.0,0.8484848484848485,0.0,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.0,0.8484848484848485,0.8484848484848485,0.0,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.0,0.8484848484848485,0.8484848484848485,0.0
